"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	""	""	""	""	""	""	""	"no"	"202423"	"verified"	""	NA	"unidentified invertebrates"	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Arthropoda"	"Malacostraca"	"Amphipoda"	"Gammaridea"	""	""	""	"no"	"93295"	"verified"	""	NA	""	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Arthropoda"	"Malacostraca"	"Euphausiacea"	""	"Euphausiidae"	"Euphausia"	"Euphausia pacifica"	"yes"	"95502"	"verified"	""	NA	""	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Arthropoda"	"Malacostraca"	"Decapoda"	""	""	""	""	"no"	"95599"	"verified"	""	NA	"shrimp"	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	""	""	""	""	""	"no"	"82326"	"verified"	""	NA	""	0.179	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	""	""	""	""	""	"no"	"82326"	"verified"	"juvenile"	NA	"unidentified Teuthoidea juveniles"	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	"Teuthida"	"Oegopsina"	"Ommastrephidae"	"Ommastrephes"	"Ommastrephes bartramii"	"yes"	"82527"	"verified"	""	NA	"neon flying squid"	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	"Teuthida"	"Oegopsina"	"Gonatidae"	"Gonatopsis"	"Gonatopsis borealis"	"yes"	"82417"	"verified"	""	NA	""	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	"Teuthida"	"Oegopsina"	"Octopoteuthidae"	"Octopoteuthis"	""	"yes"	"82432"	"verified"	""	NA	""	0.071	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	"Teuthida"	"Oegopsina"	"Mastigoteuthidae"	"Mastigoteuthis"	""	"yes"	"82558"	"verified"	""	NA	""	0.036	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Mollusca"	"Cephalopoda"	"Teuthida"	"Oegopsina"	"Cranchiidae"	"Galiteuthis"	"Galiteuthis phyllura"	"yes"	"556714"	"verified"	""	NA	""	0.143	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Chordata"	""	""	""	""	""	""	"no"	"158852"	"verified"	""	NA	""	0.571	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
"Northern Fulmar"	"Fulmarus glacialis"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	NA	NA	NA	NA	NA	"Northern Pacific Ocean"	"Japan; Taiwan; the Repbulic of Korea"	"marine"	6	1990	11	1991	NA	1	"Animalia"	"Chordata"	"Teleostei"	"Stomiiformes"	"Gonostomatoidei"	"Sternoptychidae"	"Argyropelecus"	""	"yes"	"162213"	"verified"	""	NA	""	0.107	"Occurrence"	NA	28	3	"stomach contents;esophagus contents"	"Table 1"	"CW"	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
