Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia								no	NA	NA		NA	unidentified invertebrates	0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridea				no	NA	NA		NA		0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia							Euphausia pacifica	yes	NA	NA		NA		0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia			Decapoda					no	NA	NA		NA	shrimp	0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda						no	NA	NA		NA		0.179	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda						no	NA	NA	juvenile	NA	unidentified Teuthoidea juveniles	0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda					Ommastrephes bartramii	yes	NA	NA		NA	neon flying squid	0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda					Gonatopsis borealis	yes	NA	NA		NA		0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda				Octopoteuthis		yes	NA	NA		NA		0.071	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
Northern Fulmar	Fulmarus glacialis	NA	Procellariidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Northern Pacific Ocean	Japan; Taiwan; the Repbulic of Korea	marine	6	1990	11	1991	NA	1	Animalia	Mollusca	Cephalopoda				Mastigoteuthis		yes	NA	NA		NA		0.036	Occurrence	NA	28	3	stomach contents;esophagus contents	Table 1	CW	"Gould, P., P. Ostrom, and W. Walker. 1997. Foods of Northern Fulmars associated with high-seas drift nets in the transitional region of the North Pacific. Northwestern Naturalist 78: 57-61."
