Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	3	Animalia	Mollusca	Cephalopoda						yes						0.047556143	Items	72	85	1	emetic	Table 1	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	3	Animalia	Chordata							yes					fish	0.036327609	Items	55	85	1	emetic	Table 1	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	3	Animalia	Arthropoda							yes					crustacea	0.891677675	Items	1350	85	1	emetic	Table 1	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	3	Animalia	Chordata							yes					urochordata	0.00990753	Items	15	85	1	emetic	Table 1	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	3	Biological								no					unidentified	0.014531044	Items	22	85	1	emetic	Table 1	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	4	Animalia	Mollusca	Cephalopoda	Octopoda	Incirrina	Argonautidae	Argonauta	Argonauta nodosa	yes						0.033333333	Items	60	85	1	emetic	Table 2; cephalapod identification from flesh	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	4	Animalia	Mollusca	Cephalopoda	Octopoda	Incirrina	Argonautidae	Argonauta		no						0.033333333	Items	60	85	1	emetic	Table 2; cephalapod identification from flesh	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	4	Animalia	Mollusca	Cephalopoda	Spirulida		Spirulidae	Spirula	Spirula spirula	yes						0.25	Items	60	85	1	emetic	Table 2; cephalapod identification from flesh	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	4	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Histioteuthidae	Histioteuthis		yes						0.05	Items	60	85	1	emetic	Table 2; cephalapod identification from flesh	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
Gray-faced Petrel	Pterodroma gouldi		Procellariidae	eBird Clements Checklist v2019	117	-37.83333333	NA	NA	NA	New Zealand	Whale Island		12	1971	12	1971	winter	4	Animalia	Mollusca	Cephalopoda						no						0.633333333	Items	60	85	1	emetic	Table 2; cephalapod identification from flesh	CW	"Imber, M. J. 1973. The food of Grey-Faced Petrels (Pterodroma macroptera gouldi (Hutton)), with special reference to diurnal vertical migration of their prey. Journal of Animal Ecology 42: 645-662."
