Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Island	grassland;shrubland	6	1976	9	1976	spring;summer	1	Animalia	Arthropoda	Maxillopoda	Calanoida		Calanidae	Neocalanus	Neocalanus cristatus	yes	667083	verified		NA		0.9	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1976	9	1976	spring;summer	1	Animalia	Arthropoda	Malacostraca	Euphausiacea		Euphausiidae	Thysanoessa	Thysanoessa spinifera	yes	95578	verified		NA		0.7	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1976	9	1976	spring;summer	1	Animalia	Chordata							no	158852	verified		NA		1	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Arthropoda	Maxillopoda	Calanoida		Calanidae	Neocalanus	Neocalanus cristatus	yes	667083	verified		NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Arthropoda	Malacostraca	Amphipoda	Gammaridea	Scopelocheiridae	Paracallisoma	Paracallisoma alberti	yes	94386	verified		NA		0.75	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Arthropoda	Malacostraca	Euphausiacea		Euphausiidae	Thysanoessa	Thysanoessa spinifera	yes	95578	verified		NA		0.5	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata	Oplophoridae	Hymenodora	Hymenodora frontalis	yes	96110	verified		NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Mollusca	Cephalopoda						yes	82326	verified		NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Chordata	Teleostei	Scorpaeniformes	Cottoidei	Cottidae			yes	167196	verified		NA		0.08	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata	NA	Hydrobatidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland;shrubland	6	1977	8	1977	spring;summer	1	Animalia	Chordata	Teleostei	Gadiformes		Gadidae			yes	164701	verified		NA	Cod	0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 179-195"
