"Common_Name"	"Scientific_Name"	"Subspecies"	"Family"	"Taxonomy"	"Longitude_dd"	"Latitude_dd"	"Altitude_min_m"	"Altitude_mean_m"	"Altitude_max_m"	"Location_Region"	"Location_Specific"	"Habitat_type"	"Observation_Month_Begin"	"Observation_Year_Begin"	"Observation_Month_End"	"Observation_Year_End"	"Observation_Season"	"Analysis_Number"	"Prey_Kingdom"	"Prey_Phylum"	"Prey_Class"	"Prey_Order"	"Prey_Suborder"	"Prey_Family"	"Prey_Genus"	"Prey_Scientific_Name"	"Inclusive_Prey_Taxon"	"Prey_Name_ITIS_ID"	"Prey_Name_Status"	"Prey_Stage"	"Prey_Part"	"Prey_Common_Name"	"Fraction_Diet"	"Diet_Type"	"Item_Sample_Size"	"Bird_Sample_Size"	"Sites"	"Study_Type"	"Notes"	"Entered_By"	"Source"
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Sthenoteuthis oualaniensis"	"yes"	NA	NA	"juvenile"	NA	""	0.09	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Chiroteuthis veranyi"	"yes"	NA	NA	""	NA	""	0.02	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Mastigoteuthis dentata"	"yes"	NA	NA	"adult"	NA	""	0.11	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Galiteuthis pacifica"	"yes"	NA	NA	""	NA	""	0.07	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	""	"no"	NA	NA	"adult"	NA	""	0.01	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Amphitretus pelagicus"	"yes"	NA	NA	"adult"	NA	""	0.01	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Vitreledonella richardi"	"yes"	NA	NA	"adult"	NA	""	0.01	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	"Argonauta"	""	"yes"	NA	NA	"adult"	NA	""	0.02	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	1	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Haliphron atlanticus"	"yes"	NA	NA	""	NA	""	0.04	"Wt_or_Vol"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	"Teuthida"	"Oegopsina"	"Ancistrocheiridae"	"Ancistrocheirus"	"Ancistrocheirus lesueurii"	"yes"	NA	NA	""	NA	""	0.008403361	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Octopoteuthis nielseni"	"yes"	NA	NA	""	NA	""	0.042016807	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Taningia danae"	"yes"	NA	NA	"juvenile"	NA	""	0.008403361	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Onychoteuthis banksii"	"yes"	NA	NA	"adult"	NA	""	0.159663866	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	"Teuthida"	"Oegopsina"	"Cycloteuthidae"	"Discoteuthis"	""	"yes"	NA	NA	"juvenile"	NA	""	0.016806723	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Gonatus antarcticus"	"yes"	NA	NA	"adult"	NA	""	0.008403361	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Pholidoteuthis boschmai"	"yes"	NA	NA	"juvenile"	NA	""	0.092436975	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Histioteuthis heteropsis"	"yes"	NA	NA	"adult"	NA	""	0.042016807	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	"Histioteuthis"	""	"no"	NA	NA	"adult"	NA	""	0.025210084	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Chentopteryx sicula"	"yes"	NA	NA	"adult"	NA	""	0.042016807	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Eucleoteuthis luminosa"	"yes"	NA	NA	"adult"	NA	""	0.008403361	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Sthenoteuthis oualaniensis"	"yes"	NA	NA	"juvenile"	NA	""	0.277310924	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Chiroteuthis veranyi"	"yes"	NA	NA	""	NA	""	0.058823529	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Mastigoteuthis dentata"	"yes"	NA	NA	"adult"	NA	""	0.100840336	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	"Leachia"	""	"yes"	NA	NA	"adult"	NA	""	0.008403361	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
"Galapagos Petrel"	"Pterodroma phaeopygia"	NA	"Procellariidae"	"eBird Clements Checklist v2019"	-90.41666667	-0.61111	NA	NA	NA	"Galapagos Islands"	"Cerro Pajas; Media Luna; Santiago Island"	NA	NA	1984	NA	1986	NA	2	"Animalia"	"Mollusca"	"Cephaopoda"	""	""	""	""	"Galiteuthis pacifica"	"yes"	NA	NA	""	NA	""	0.050420168	"Items"	119	83	3	"emetic"	"Table 1;average latitudes (-1.21667,-0.48333,-0.13333) and longitudes (-90.3667,-90.35,-90.5333);bird sample size is the number of regurgitations collected"	"CW"	"Cruz, F., J. B. Cruz, et al. 1992. Feeding ecology of the Dark-rumped Petrel in the Galapagos Islands. The Condor 94: 437-447."
