Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0181	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Adult	NA	NA	NA	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Pupa	NA	NA	NA	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Larva	NA	NA	0.744	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0893	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0298	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1071	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Black-capped Chickadee	Poecile atricapillus		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0059	Wt_or_Vol	NA	12	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03617	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Adult	NA	NA	0.03617	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Pupa	NA	NA	NA	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Larva	NA	NA	0.7596	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1013	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05787	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Tufted Titmouse	Baeolophus bicolor		Paridae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007234	Wt_or_Vol	NA	17	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006897	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006897	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Adult	NA	NA	0.0136	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Pupa	NA	NA	NA	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Larva	NA	NA	0.2676	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0423	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5498	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	NA	0.0634	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Blue-gray Gnatcatcher	Polioptila caerulea		Polioptilidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0563	Wt_or_Vol	NA	20	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0061	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Adult	NA	NA	NA	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Pupa	NA	NA	NA	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Larva	NA	NA	0.5066	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0608	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.23	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	NA	0.0051	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1704	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Red-eyed Vireo	Vireo olivaceus		Vireonidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03042	Wt_or_Vol	NA	19	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Cerulean Warbler	Setophaga cerulea		Parulidae	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	5	1986	7	1986	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0109	Wt_or_Vol	NA	6	1	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
