Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		10	1966	4	1971	Winter	Plantae		Magnoliopsida	Malpighiales		Salicaceae	Salix		no					Willow	0.89	Wt_or_Vol	95	58	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		10	1966	4	1971	Winter	Plantae		Magnoliopsida	Rosales		Rosaceae	Dryas		no					Mountain dryad	0.06	Wt_or_Vol	95	58	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		10	1966	4	1971	Winter	Non-biological								no					Grit	0.03	Wt_or_Vol	95	58	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		10	1966	4	1971	Winter	Plantae		Magnoliopsida	Fagales		Betulaceae	Alnus		no					Alder	0.02	Wt_or_Vol	95	58	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Plantae		Magnoliopsida	Malpighiales		Salicaceae	Salix		no					Willow	0.85	Wt_or_Vol	70	26	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Non-biological								no					Grit	0.03	Wt_or_Vol	70	26	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Plantae		Magnoliopsida	Rosales		Rosaceae	Dryas		no					Mountain dryad	0.03	Wt_or_Vol	70	26	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Plantae		Magnoliopsida	Rosales		Rosaceae	Potentilla		no					Cinquefoil	0.03	Wt_or_Vol	70	26	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Plantae		Magnoliopsida	Ranunculales		Ranunculaceae	Ranunculus		no					Buttercup	0.02	Wt_or_Vol	70	26	16	crop contents		AZ	
White-tailed Ptarmigan	Lagopus Leucura	NA	Phasianidae	Avibase bird checklist	NA	NA	NA	NA	NA	Colorado	Northern and Central Colordao		5	1967	6	1971	Spring	Plantae								yes					Unidentified	0.01	Wt_or_Vol	70	26	16	crop contents		AZ	
