Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1981		1981			Animalia	Chordata	Mammalia						no						0.03	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1981		1981			Animalia	Chordata							no						0.2	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.08	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.03	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.5	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.26	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1982		1982			Animalia	Chordata							no						0.13	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.16	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.32	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.32	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.08	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata	Mammalia						no						0.01	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve A			1983		1983			Animalia	Chordata							no						0.11	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.18	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.13	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.24	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.15	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata	Mammalia						no						0.04	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1977		1977			Animalia	Chordata							no						0.26	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.18	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.18	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.32	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.12	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata	Mammalia						no						0.03	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1980		1980			Animalia	Chordata							no						0.17	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.14	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.29	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.2	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.1	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata	Mammalia						no						0.07	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1981		1981			Animalia	Chordata							no						0.2	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Neotoma	Neotoma fuscipes	yes						0.09	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Sciuromorpha	Sciuridae	Glaucomys	Glaucomys sabrinus	yes						0.16	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Arborimus	Arborimus longicaudus	yes						0.38	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata	Mammalia	Rodentia	Myomorpha	Cricetidae	Peromyscus	Peromyscus maniculatus	yes						0.14	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata	Mammalia						no						0.07	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
Spotted Owl	Strix Occidentalis		Strigidae	"AOU 7th ed., 60th supplement"						"Mendocino County, CA"	Angelo Coast Range Preserve B			1982		1982			Animalia	Chordata							no						0.16	Occurrence			2	pellet contents		GG	"Barrows, C. W. 1985. Breeding success relative to fluctuations in diet for Spotted Owls in California. Pages 50-54 in Ecology and management of the Spotted Owl in the Pacific northwest. (Gutierrez, R. J. and A. B. Carey, Eds.) Gen. Tech. Rep. PNW-185, U.S. Forest Serv. Portland, OR."
