Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Source
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Animalia	Arthropoda	Arachnida	Unidentified	NA	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Animalia	Arthropoda	Insecta	Hemiptera	Homoptera	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		7	1971	8	1971	Summer	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Panicum	NA	NA	Seed	NA	NA	0.701	NA	NA	57	5	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		7	1971	8	1971	Summer	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Setaria	NA	NA	Seed	NA	NA	0.035	NA	NA	57	5	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Digitaria	NA	NA	Seed	NA	NA	0.042	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Panicum	NA	NA	Seed	NA	NA	0.637	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Setaria	NA	NA	Seed	NA	NA	0.105	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Triodia	NA	NA	Seed	NA	NA	0.039	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Magnoliopsida	Asterales	NA	Asteraceae	Iva	NA	NA	Seed	NA	NA	0.004	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	NA	Euphorbiaceae	Acalypha	NA	NA	Seed	NA	NA	0.042	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		9	1971	11	1971	Fall	Plantae	Magnoliophyta	Magnoliopsida	Euphorbiales	NA	Euphorbiaceae	Unidentified	NA	NA	Seed	NA	NA	0.071	NA	NA	284	11	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Chloris	NA	NA	Seed	NA	NA	0.062	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Digitaria	NA	NA	Seed	NA	NA	0.008	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
Bachman's Sparrow	Peucaea aestivalis	Emberizidae	"AOU 7th ed., 54th supplement"	NA	NA	NA	NA	NA	Texas	"Angelina, Jasper, and Nacogdoches Counties"		12	1971	2	1972	Winter	Plantae	Magnoliophyta	Liliopsida	Cyperales	NA	Poaceae	Panicum	NA	NA	Seed	NA	NA	0.884	NA	NA	241	4	NA	stomach contents	NA	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."
