Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Decapoda	Dendrobranchiata	Penaeidae			no	95602	verified	NA	NA	penaeid shrimps	0.000332889	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Decapoda	Dendrobranchiata	Penaeidae	Melicertus	Melicertus marginatus	yes	551592	verified	NA	NA	marginated shrimp	0.001331558	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata				yes	96105	verified	larva	NA	crab megalopa	0.000665779	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Stomatopoda					no	99140	verified	NA	NA	mantis shrimp	0.002163782	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Stomatopoda	Unipeltata	Pseudosquillidae	Pseudosquilla		yes	99183	verified	NA	NA		0.000166445	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Stomatopoda	Unipeltata	Squillidae	Squilla		yes	99142	verified	NA	NA		0.004660453	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Arthropoda	Malacostraca	Stomatopoda	Unipeltata	Lysiosquillidae	Lysiosquilla		yes	99188	verified	NA	NA		0.000499334	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida					no	82367	verified	NA	NA		0.006990679	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Onychoteuthidae			yes	82436	verified	NA	NA		0.000499334	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Ommastrephidae			no	82514	verified	NA	NA		0.018308921	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Ommastrephidae	Sthenoteuthis	Sthenoteuthis oualaniensis	yes	556284	verified	NA	NA		0.002663116	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Cranchiidae			no	82575	verified	NA	NA		0.000166445	Items	6008	396	1	emetic	NA	EM	NA
Black Noddy	Anous minutus	NA	Laridae	eBird Clements Checklist v2019	-166.1666667	23.75	NA	NA	NA	Hawaii	French Frigate Shoals	coral atoll	1	1981	10	1982	winter; spring; summer; fall	1	Animalia	Mollusca	Cephalopoda	Teuthida	Oegopsina	Cranchiidae	Cranchia	Cranchia scabra	yes	82578	verified	NA	NA		0.000166445	Items	6008	396	1	emetic	NA	EM	NA
